=== Información de circuitos ejecutados ===
Circuito: bernstein-vazirani.py | Registros clásicos: c0 - c3 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c4 - c6 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c7 - c9 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c10 - c12 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c13 - c16 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c17 - c20 | Iteración: 1 | Batch: 1
Circuito: tsp.py | Registros clásicos: c21 - c23 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c24 - c25 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c26 - c27 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c28 - c30 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c31 - c34 | Iteración: 1 | Batch: 2
Circuito: qft.py | Registros clásicos: c35 - c37 | Iteración: 1 | Batch: 2
Circuito: shor.py | Registros clásicos: c38 - c41 | Iteración: 1 | Batch: 2
Circuito: qwalk.py | Registros clásicos: c42 - c44 | Iteración: 1 | Batch: 2
Circuito: tsp.py | Registros clásicos: c45 - c47 | Iteración: 1 | Batch: 2
Circuito: simon.py | Registros clásicos: c48 - c53 | Iteración: 1 | Batch: 2
Circuito: shor.py | Registros clásicos: c54 - c57 | Iteración: 1 | Batch: 2
Circuito: simon.py | Registros clásicos: c58 - c63 | Iteración: 1 | Batch: 2
Circuito: kickback.py | Registros clásicos: c64 - c65 | Iteración: 1 | Batch: 3
Circuito: tsp.py | Registros clásicos: c66 - c68 | Iteración: 1 | Batch: 3
Circuito: kickback.py | Registros clásicos: c69 - c70 | Iteración: 1 | Batch: 3
Circuito: Deutsch-Jozsa.py | Registros clásicos: c71 - c74 | Iteración: 1 | Batch: 3
Circuito: grover.py | Registros clásicos: c75 - c76 | Iteración: 1 | Batch: 3
Circuito: kickback.py | Registros clásicos: c77 - c78 | Iteración: 1 | Batch: 3
Circuito: phase_estimation.py | Registros clásicos: c79 - c82 | Iteración: 1 | Batch: 3
Circuito: bernstein-vazirani.py | Registros clásicos: c83 - c86 | Iteración: 1 | Batch: 3
Circuito: phase_estimation.py | Registros clásicos: c87 - c90 | Iteración: 1 | Batch: 3
Circuito: phase_estimation.py | Registros clásicos: c91 - c94 | Iteración: 1 | Batch: 3
Circuito: simon.py | Registros clásicos: c95 - c100 | Iteración: 1 | Batch: 4
Circuito: bernstein-vazirani.py | Registros clásicos: c101 - c104 | Iteración: 1 | Batch: 4
Circuito: qaoa.py | Registros clásicos: c105 - c106 | Iteración: 1 | Batch: 4
Circuito: qaoa.py | Registros clásicos: c107 - c108 | Iteración: 1 | Batch: 4
Circuito: qaoa.py | Registros clásicos: c109 - c110 | Iteración: 1 | Batch: 4
Circuito: full_adder.py | Registros clásicos: c111 - c114 | Iteración: 1 | Batch: 4
Circuito: full_adder.py | Registros clásicos: c115 - c118 | Iteración: 1 | Batch: 4
Circuito: full_adder.py | Registros clásicos: c119 - c122 | Iteración: 1 | Batch: 4
