=== Información de circuitos ejecutados ===
Circuito: full_adder.py | Registros clásicos: c0 - c3 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c4 - c5 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c6 - c9 | Iteración: 1 | Batch: 1
Circuito: simon.py | Registros clásicos: c10 - c15 | Iteración: 1 | Batch: 1
Circuito: phase_estimation.py | Registros clásicos: c16 - c19 | Iteración: 1 | Batch: 1
Circuito: bernstein-vazirani.py | Registros clásicos: c20 - c23 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c24 - c26 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c27 - c29 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c30 - c33 | Iteración: 1 | Batch: 1
Circuito: kickback.py | Registros clásicos: c34 - c35 | Iteración: 1 | Batch: 2
Circuito: qaoa.py | Registros clásicos: c36 - c37 | Iteración: 1 | Batch: 2
Circuito: tsp.py | Registros clásicos: c38 - c40 | Iteración: 1 | Batch: 2
