=== Información de circuitos ejecutados ===
Circuito: qft.py | Registros clásicos: c0 - c2 | Iteración: 1 | Batch: 1
Circuito: simon.py | Registros clásicos: c3 - c8 | Iteración: 1 | Batch: 1
Circuito: bernstein-vazirani.py | Registros clásicos: c9 - c12 | Iteración: 1 | Batch: 1
Circuito: qaoa.py | Registros clásicos: c13 - c14 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c15 - c18 | Iteración: 1 | Batch: 1
Circuito: kickback.py | Registros clásicos: c19 - c20 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c21 - c24 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c25 - c26 | Iteración: 1 | Batch: 1
Circuito: tsp.py | Registros clásicos: c27 - c29 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c30 - c33 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c34 - c36 | Iteración: 1 | Batch: 2
Circuito: phase_estimation.py | Registros clásicos: c37 - c40 | Iteración: 1 | Batch: 2
