=== Información de circuitos ejecutados ===
Circuito: kickback.py | Registros clásicos: c0 - c1 | Iteración: 1 | Batch: 1
Circuito: phase_estimation.py | Registros clásicos: c2 - c5 | Iteración: 1 | Batch: 1
Circuito: bernstein-vazirani.py | Registros clásicos: c6 - c9 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c10 - c13 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c14 - c16 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c17 - c19 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c20 - c21 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c22 - c25 | Iteración: 1 | Batch: 1
Circuito: simon.py | Registros clásicos: c26 - c31 | Iteración: 1 | Batch: 1
Circuito: qaoa.py | Registros clásicos: c32 - c33 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c34 - c37 | Iteración: 1 | Batch: 2
Circuito: tsp.py | Registros clásicos: c38 - c40 | Iteración: 1 | Batch: 2
