=== Información de circuitos ejecutados ===
Circuito: qwalk.py | Registros clásicos: c0 - c2 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c3 - c6 | Iteración: 1 | Batch: 1
Circuito: qaoa.py | Registros clásicos: c7 - c8 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c9 - c10 | Iteración: 1 | Batch: 1
Circuito: phase_estimation.py | Registros clásicos: c11 - c14 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c15 - c18 | Iteración: 1 | Batch: 1
Circuito: bernstein-vazirani.py | Registros clásicos: c19 - c22 | Iteración: 1 | Batch: 1
Circuito: tsp.py | Registros clásicos: c23 - c25 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c26 - c29 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c30 - c32 | Iteración: 1 | Batch: 1
Circuito: simon.py | Registros clásicos: c33 - c38 | Iteración: 1 | Batch: 2
Circuito: kickback.py | Registros clásicos: c39 - c40 | Iteración: 1 | Batch: 2
