=== Información de circuitos ejecutados ===
Circuito: tsp.py | Registros clásicos: c0 - c2 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c3 - c6 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c7 - c9 | Iteración: 1 | Batch: 1
Circuito: qaoa.py | Registros clásicos: c10 - c11 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c12 - c15 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c16 - c17 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c18 - c21 | Iteración: 1 | Batch: 1
Circuito: kickback.py | Registros clásicos: c22 - c23 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c24 - c26 | Iteración: 1 | Batch: 1
Circuito: simon.py | Registros clásicos: c27 - c32 | Iteración: 1 | Batch: 1
Circuito: phase_estimation.py | Registros clásicos: c33 - c36 | Iteración: 1 | Batch: 2
Circuito: bernstein-vazirani.py | Registros clásicos: c37 - c40 | Iteración: 1 | Batch: 2
