=== Información de circuitos ejecutados ===
Circuito: phase_estimation.py | Registros clásicos: c0 - c3 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c4 - c5 | Iteración: 1 | Batch: 1
Circuito: qaoa.py | Registros clásicos: c6 - c7 | Iteración: 1 | Batch: 1
Circuito: tsp.py | Registros clásicos: c8 - c10 | Iteración: 1 | Batch: 1
Circuito: simon.py | Registros clásicos: c11 - c16 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c17 - c19 | Iteración: 1 | Batch: 1
Circuito: bernstein-vazirani.py | Registros clásicos: c20 - c23 | Iteración: 1 | Batch: 1
Circuito: kickback.py | Registros clásicos: c24 - c25 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c26 - c29 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c30 - c33 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c34 - c37 | Iteración: 1 | Batch: 2
Circuito: qwalk.py | Registros clásicos: c38 - c40 | Iteración: 1 | Batch: 2
