=== Información de circuitos ejecutados ===
Circuito: qaoa.py | Registros clásicos: c0 - c1 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c2 - c4 | Iteración: 1 | Batch: 1
Circuito: phase_estimation.py | Registros clásicos: c5 - c8 | Iteración: 1 | Batch: 1
Circuito: bernstein-vazirani.py | Registros clásicos: c9 - c12 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c13 - c16 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c17 - c20 | Iteración: 1 | Batch: 1
Circuito: tsp.py | Registros clásicos: c21 - c23 | Iteración: 1 | Batch: 1
Circuito: simon.py | Registros clásicos: c24 - c29 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c30 - c32 | Iteración: 1 | Batch: 1
Circuito: kickback.py | Registros clásicos: c33 - c34 | Iteración: 1 | Batch: 2
Circuito: Deutsch-Jozsa.py | Registros clásicos: c35 - c38 | Iteración: 1 | Batch: 2
Circuito: grover.py | Registros clásicos: c39 - c40 | Iteración: 1 | Batch: 2
